COD_LOCALE_PROGETTO;DEN_REGIONE;DEN_PROVINCIA;DEN_COMUNE;INDIRIZZO_PROG;OC_TITOLO_PROGETTO;OC_SINTESI_PROGETTO;DESCRIZIONE_GRANDE_PROGETTO;CUP_DESCR_CATEGORIA;CUP_DESCR_NATURA;CUP_DESCR_TIPOLOGIA;CUP_DESCR_SETTORE;CUP_DESCR_SOTTOSETTORE;OC_DATA_INIZIO_PROGETTO;FINANZ_TOTALE_PUBBLICO;label
5MA17352;MARCHE;ANCONA;Senigallia;Piazza SAFFI 25;CODICE PROGETTO: 17352 - AZIONE 2.2.  Â¿ INTERVENTO 2.2.2. Â¿ Â¿PROMUOVERE LA PARTECIPAZIONE DELLE IMPRESE AI PROGRAMMI COMUNITARI A GESTIONE DIRETTA DELLA COMMISSIONE EUROPEA, SOSTENENDONE LA PROGETTUALITÃ ;CODICE PROGETTO: 17352 - AZIONE 2.2.  Â¿ INTERVENTO 2.2.2. Â¿ Â¿PROMUOVERE LA PARTECIPAZIONE DELLE IMPRESE AI PROGRAMMI COMUNITARI A GESTIONE DIRETTA DELLA COMMISSIONE EUROPEA, SOSTENENDONE LA PROGETTUALITÃ ;"";BIOTECNOLOGIE E SALUTE IN GENERE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Altro;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;20190216;4000.0;s3_2
5MA16974;MARCHE;ANCONA;Chiaravalle;Via MATTEOTTI 38;CODICE PROGETTO: 16974 - AZIONE 2.2.  Â¿ INTERVENTO 2.2.2. Â¿ Â¿VOUCHER PER FAVORIRE LA PARTECIPAZIONE AI PROGRAMMI COMUNITARI A GESTIONE DIRETTA DELLA COMMISSIONE EUROPEA - BANDO 2015Â¿ -;CODICE PROGETTO: 16974 - AZIONE 2.2.  Â¿ INTERVENTO 2.2.2. Â¿ Â¿VOUCHER PER FAVORIRE LA PARTECIPAZIONE AI PROGRAMMI COMUNITARI A GESTIONE DIRETTA DELLA COMMISSIONE EUROPEA - BANDO 2015Â¿ -;"";BIOTECNOLOGIE E SALUTE IN GENERE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Altro;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;20150807;5000.0;s3_2
5MA17869;MARCHE;ANCONA;Ancona;Via Spadoni 12;CODICE PROGETTO: 17869 - AZIONE 2.2.  Â¿ INTERVENTO 2.2.2. Â¿ Â¿PROMUOVERE LA PARTECIPAZIONE DELLE IMPRESE AI PROGRAMMI COMUNITARI A GESTIONE DIRETTA DELLA COMMISSIONE EUROPEA, SOSTENENDONE LA PROGETTUALITÃ ;CODICE PROGETTO: 17869 - AZIONE 2.2.  Â¿ INTERVENTO 2.2.2. Â¿ Â¿PROMUOVERE LA PARTECIPAZIONE DELLE IMPRESE AI PROGRAMMI COMUNITARI A GESTIONE DIRETTA DELLA COMMISSIONE EUROPEA, SOSTENENDONE LA PROGETTUALITÃ ;"";BIOTECNOLOGIE E SALUTE IN GENERE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Altro;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;20190314;5000.0;s3_2
5MA13356;MARCHE;ASCOLI PICENO;Ascoli Piceno;Zona Industriale Basso Marino snc;CODICE PROGETTO: 13356 - POR MARCHE FESR 2014-2020 - ASSE 1 Â¿ OS 1 Â¿ AZIONE 1.3 Â¿MANIFATTURA E LAVORO 4.0 Â¿ SOSTEGNO AI PROCESSI DI INNOVAZIONE AZIENDALE E ALLÂ¿ UTILIZZO DI NUOVE TECNOLOGIE DIGITALI NELLE MPMI MARCHIGIANEÂ¿;CODICE PROGETTO: 13356 - POR MARCHE FESR 2014-2020 - ASSE 1 Â¿ OS 1 Â¿ AZIONE 1.3 Â¿MANIFATTURA E LAVORO 4.0 Â¿ SOSTEGNO AI PROCESSI DI INNOVAZIONE AZIENDALE E ALLÂ¿ UTILIZZO DI NUOVE TECNOLOGIE DIGITALI NELLE MPMI MARCHIGIANEÂ¿;"";BIOTECNOLOGIE E SALUTE IN GENERE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Altro;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;20171213;145000.0;s3_2
5MA19294;MARCHE;ASCOLI PICENO;San Benedetto del Tronto;Via DELL'OLMO 1;CODICE PROGETTO: 19294 - POR MARCHE FESR 2014/2020 Â¿ ASSE 1 Â¿ OS 1 Â¿ AZIONE 1.1- INT. 1.1.1 - PROMOZIONE DELLA RICERCA E DELLO SVILUPPO  NEGLI AMBITI DELLA SPECIALIZZAZIONE INTELLIGENTE - LINEA 2 AGGREGAZIONE DI IMPRESE;CODICE PROGETTO: 19294 - POR MARCHE FESR 2014/2020 Â¿ ASSE 1 Â¿ OS 1 Â¿ AZIONE 1.1- INT. 1.1.1 - PROMOZIONE DELLA RICERCA E DELLO SVILUPPO  NEGLI AMBITI DELLA SPECIALIZZAZIONE INTELLIGENTE - LINEA 2 AGGREGAZIONE DI IMPRESE;"";BIOTECNOLOGIE E SALUTE IN GENERE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Attivita' di ricerca;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;20200728;841090.0;s3_2
5MA18468;MARCHE;PESARO E URBINO;Fano;Via MONFALCONE 44;CODICE PROGETTO: 18468 - AZIONE 2.2.  Â¿ INTERVENTO 2.2.2. Â¿ Â¿PROMUOVERE LA PARTECIPAZIONE DELLE IMPRESE AI PROGRAMMI COMUNITARI A GESTIONE DIRETTA DELLA COMMISSIONE EUROPEA, SOSTENENDONE LA PROGETTUALITÃ ;CODICE PROGETTO: 18468 - AZIONE 2.2.  Â¿ INTERVENTO 2.2.2. Â¿ Â¿PROMUOVERE LA PARTECIPAZIONE DELLE IMPRESE AI PROGRAMMI COMUNITARI A GESTIONE DIRETTA DELLA COMMISSIONE EUROPEA, SOSTENENDONE LA PROGETTUALITÃ ;"";BIOTECNOLOGIE E SALUTE IN GENERE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Altro;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;20190604;5000.0;s3_2
5MA13738;MARCHE;ASCOLI PICENO;Ascoli Piceno;Via del lampo snc;CODICE PROGETTO: 13738 - POR MARCHE FESR 2014-2020 Â¿ ASSE 8 Â¿ AZIONE 21.1.2  Â¿SOSTEGNO ALLÂ¿AVVIAMENTO, ALLO SVILUPPO E ALLA CONTINUITÃ  DI IMPRESA NELLE AREE DI CRISI  PRODUTTIVAÂ¿ - SOSTEGNO AI PROGETTI DI START UP - PLAFOND PICENO;CODICE PROGETTO: 13738 - POR MARCHE FESR 2014-2020 Â¿ ASSE 8 Â¿ AZIONE 21.1.2  Â¿SOSTEGNO ALLÂ¿AVVIAMENTO, ALLO SVILUPPO E ALLA CONTINUITÃ  DI IMPRESA NELLE AREE DI CRISI  PRODUTTIVAÂ¿ - SOSTEGNO AI PROGETTI DI START UP - PLAFOND PICENO;"";TECNOLOGIE DEI NUOVI MATERIALI;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Manutenzione con efficientamento energetico;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;20180315;200000.0;s3_3
5MA19139;MARCHE;ANCONA;Ancona;Via Ferruccio Fioretti  10/B;CODICE PROGETTO: 19139 - POR MARCHE FESR 2014/2020 Â¿ ASSE 1 Â¿ OS 1 Â¿ AZIONE 1.1- INT. 1.1.1 - PROMOZIONE DELLA RICERCA E DELLO SVILUPPO  NEGLI AMBITI DELLA SPECIALIZZAZIONE INTELLIGENTE - LINEA 1 SINGOLE IMPRESE;CODICE PROGETTO: 19139 - POR MARCHE FESR 2014/2020 Â¿ ASSE 1 Â¿ OS 1 Â¿ AZIONE 1.1- INT. 1.1.1 - PROMOZIONE DELLA RICERCA E DELLO SVILUPPO  NEGLI AMBITI DELLA SPECIALIZZAZIONE INTELLIGENTE - LINEA 1 SINGOLE IMPRESE;"";BIOTECNOLOGIE E SALUTE IN GENERE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Attivita' di ricerca;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;20200728;50580.0;s3_2
1MISEARS01_00996/8;MARCHE;PESARO E URBINO;Montelabbate;Via della Produzione, 61;NUOVI TESSUTI INTELLIGENTI E SOSTENIBILI MULTI-SETTORIALI PER DESIGN CREATIVO E STILE MADE-IN-ITALY;NUOVI TESSUTI INTELLIGENTI E SOSTENIBILI MULTI-SETTORIALI PER DESIGN CREATIVO E STILE MADE-IN-ITALY;"";ALTRE AREE TECNOLOGICHE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Attivita' di ricerca;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;20180601;199477.2;s3_1
5MA12164;MARCHE;PESARO E URBINO;Sant'Angelo in Vado;Via CIRCONVALLAZIONE 11;CODICE PROGETTO: 12164 - SOSTEGNO ALLA REALIZZAZIONE DI PROGETTI CHE HANNO OTTENUTO  IL Â¿SEAL OF EXCELLENCEÂ¿  - FASE 2 - SME INSTRUMENT   NEGLI AMBITI DELLA SPECIALIZZAZIONE INTELLIGENTE;CODICE PROGETTO: 12164 - SOSTEGNO ALLA REALIZZAZIONE DI PROGETTI CHE HANNO OTTENUTO  IL Â¿SEAL OF EXCELLENCEÂ¿  - FASE 2 - SME INSTRUMENT   NEGLI AMBITI DELLA SPECIALIZZAZIONE INTELLIGENTE;"";BIOTECNOLOGIE E SALUTE IN GENERE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Attivita' di ricerca;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;20171009;754393.43;s3_2
1MISEARS01_00914/11;MARCHE;ANCONA;Falconara Marittima;Via Marconi n. 100;DESIGN SOSTENIBILE DI SISTEMI DI ARREDO INTELLIGENTI CON FUNZIONE SALVA-VITA DURANTE EVENTI SISMICI;DESIGN SOSTENIBILE DI SISTEMI DI ARREDO INTELLIGENTI CON FUNZIONE SALVA-VITA DURANTE EVENTI SISMICI;"";ALTRE AREE TECNOLOGICHE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Attivita' di ricerca;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;20180604;300000.0;s3_4
5MA10401;MARCHE;MACERATA;Camerino;Via Gentile III da Varano snc;CODICE PROGETTO: 10401 - POR MARCHE FESR 2014-2020 - AZIONE 1.3.3.1. - SELEZIONE DELLE IDEE PROGETTUALI DA AMMETTERE AL SECONDO STADIO DELLA PROCEDURA SELETTIVA PREVISTA DAL BANDO DI CUI AL DDPF N. 118/IRE DEL 04/12/2015;CODICE PROGETTO: 10401 - POR MARCHE FESR 2014-2020 - AZIONE 1.3.3.1. - SELEZIONE DELLE IDEE PROGETTUALI DA AMMETTERE AL SECONDO STADIO DELLA PROCEDURA SELETTIVA PREVISTA DAL BANDO DI CUI AL DDPF N. 118/IRE DEL 04/12/2015;"";PROTEZIONE E PROMOZIONE DELLA SALUTE UMANA;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;COMPENSAZIONI (AD ESEMPIO PER PERDITA DI REDDITO O MANCATO GUADAGNO);RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI DIFFUSIONE E COOPERAZIONE PUBBLICO-PRIVATA;20170119;1139813.35;s3_2
1MISEARS01_00914/1;MARCHE;MACERATA;Camerino;Piazza dei Costanti n. 4, Via Gentile III da Varano, snc, Via Madonna delle Carceri n. 9;DESIGN SOSTENIBILE DI SISTEMI DI ARREDO INTELLIGENTI CON FUNZIONE SALVA-VITA DURANTE EVENTI SISMICI;DESIGN SOSTENIBILE DI SISTEMI DI ARREDO INTELLIGENTI CON FUNZIONE SALVA-VITA DURANTE EVENTI SISMICI;"";ALTRE RICERCHE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Attivita' di ricerca;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA PRESSO UNIVERSITA' E ISTITUTI DI RICERCA;20180604;490000.0;s3_1
5MA19293;MARCHE;MACERATA;Civitanova Marche;Via LUIGI EINAUDI 280;CODICE PROGETTO: 19293 - POR MARCHE FESR 2014/2020 Â¿ ASSE 1 Â¿ OS 1 Â¿ AZIONE 1.1- INT. 1.1.1 - PROMOZIONE DELLA RICERCA E DELLO SVILUPPO  NEGLI AMBITI DELLA SPECIALIZZAZIONE INTELLIGENTE - LINEA 2 AGGREGAZIONE DI IMPRESE;CODICE PROGETTO: 19293 - POR MARCHE FESR 2014/2020 Â¿ ASSE 1 Â¿ OS 1 Â¿ AZIONE 1.1- INT. 1.1.1 - PROMOZIONE DELLA RICERCA E DELLO SVILUPPO  NEGLI AMBITI DELLA SPECIALIZZAZIONE INTELLIGENTE - LINEA 2 AGGREGAZIONE DI IMPRESE;"";BIOTECNOLOGIE E SALUTE IN GENERE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Nuova realizzazione;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;20200728;829225.0;s3_2
4MISECDS000628_0_RS1;MARCHE;ASCOLI PICENO;Ascoli Piceno;Zona Industriale Basso Marino -  Ascoli Piceno;CONTRATTO DI SVILUPPO - LATTRAZIONE 2020 SABELLI;IL PROGETTO DI RICERCA INDUSTRIALE E SVILUPPO SPERIMENTALE ÃŠ RIVOLTO AL MIGLIORAMENTO DELLA QUALITÃ , DELLE PROPRIETÃ  SALUTISTICHE, DELLA SHELF-LIFE DEL PRODOTTO NONCHÃ© DELLA SOSTENIBILITÃ  AMBIENTALE DEL PROCESSO DI PRODUZIONE E RISULTA INSERITO NELL'AMBITO TECNOLOGICO 4.2 BIOTECNOLOGIE E TECNOLOGIE 7.2.OBIETTIVI REALIZZATIVI: STUDIO E SVILUPPO DI MIGLIORAMENTI SULLA QUALITÃ  E PROPRIETÃ  DEI PRODOTTI LATTIERO-CASEARI OFFERTI ATTRAVERSO L'UTILIZZO DI TECNOLOGIE DI PROCESSO E DI PRODOTTO INNOVATIVE, STUDIO E SVILUPPO DI NUOVI PRODOTTI LATTIERO-CASEARI FINALIZZATI ALLA REALIZZAZIONE DI PRODOTTI SENZA LATTOSIO E PRODOTTI CASEARI FUNZIONALI ADDIZIONATI CON SOSTANZE BENEFICHE, STUDIO E SVILUPPO DI INNOVAZIONI FUNZIONALI AD ESTENDERE LA SHELF-LIFE ATTRAVERSO INNOVAZIONI SUL PRODOTTO E SUI PROCESSI PRODUTTIVI, STUDIO E VALUTAZIONI APPROFONDITE SULLA LCA DEI PRODOTTI E DEI PROCESSI PRODUTTIVI AZIENDALI IN MODO DA DEFINIRE L'IMPATTO AMBIENTALE DELLA PRODUZIONE E DEFINIRE STRATEGIE AMBIENTAL;"";INNOVAZIONE PROCESSI E PRODOTTI;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Ampliamento;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;20181114;1143250.0;s3_1
5MA14790;MARCHE;MACERATA;Civitanova Marche;Via SANDRO PERTINI 8;CODICE PROGETTO: 14790 - POR MARCHE FESR 2014/2020 Â  ASSE 1 Â  OS 1 - AZIONE 1.2 - INGEGNERIZZAZIONE, INDUSTRIALIZZAZIONE DEI RISULTATI DELLA RICERCA E VALORIZZAZIONE ECONOMICA DELL`INNOVAZIONE (BANDO DI ACCESSO 2017);CODICE PROGETTO: 14790 - POR MARCHE FESR 2014/2020 Â  ASSE 1 Â  OS 1 - AZIONE 1.2 - INGEGNERIZZAZIONE, INDUSTRIALIZZAZIONE DEI RISULTATI DELLA RICERCA E VALORIZZAZIONE ECONOMICA DELL`INNOVAZIONE (BANDO DI ACCESSO 2017);"";IMPIANTI, MACCHINARI ED ANNESSE OPERE MURARIE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Ammodernamento con efficientamento energetico;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' PRODUTTIVE, E LA RICERCA E L'IMPRESA SOCIALE;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;20181025;352000.0;s3_3
5MA17115;MARCHE;PESARO E URBINO;Sant'Angelo in Vado;Via Circonvallazione snc;CODICE PROGETTO: 17115 - AZIONE 2.2.  Â¿ INTERVENTO 2.2.2. Â¿ Â¿VOUCHER PER FAVORIRE LA PARTECIPAZIONE AI PROGRAMMI COMUNITARI A GESTIONE DIRETTA DELLA COMMISSIONE EUROPEA - BANDO 2015Â¿ -;CODICE PROGETTO: 17115 - AZIONE 2.2.  Â¿ INTERVENTO 2.2.2. Â¿ Â¿VOUCHER PER FAVORIRE LA PARTECIPAZIONE AI PROGRAMMI COMUNITARI A GESTIONE DIRETTA DELLA COMMISSIONE EUROPEA - BANDO 2015Â¿ -;"";BIOTECNOLOGIE E SALUTE IN GENERE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Altro;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;20150807;7500.0;s3_2
1MISEARS01_00914/1;MARCHE;MACERATA;Camerino;Piazza dei Costanti n. 4, Via Gentile III da Varano, snc, Via Madonna delle Carceri n. 9;DESIGN SOSTENIBILE DI SISTEMI DI ARREDO INTELLIGENTI CON FUNZIONE SALVA-VITA DURANTE EVENTI SISMICI;DESIGN SOSTENIBILE DI SISTEMI DI ARREDO INTELLIGENTI CON FUNZIONE SALVA-VITA DURANTE EVENTI SISMICI;"";ALTRE RICERCHE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Attivita' di ricerca;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA PRESSO UNIVERSITA' E ISTITUTI DI RICERCA;20180604;490000.0;s3_4
5MA19098;MARCHE;ANCONA;Jesi;Via VIA ROCCO SCOTELLARO 1/A;CODICE PROGETTO: 19098 - POR MARCHE FESR 2014/2020 Â¿ ASSE 1 Â¿ OS 1 Â¿ AZIONE 1.1- INT. 1.1.1 - PROMOZIONE DELLA RICERCA E DELLO SVILUPPO  NEGLI AMBITI DELLA SPECIALIZZAZIONE INTELLIGENTE - LINEA 2 AGGREGAZIONE DI IMPRESE;CODICE PROGETTO: 19098 - POR MARCHE FESR 2014/2020 Â¿ ASSE 1 Â¿ OS 1 Â¿ AZIONE 1.1- INT. 1.1.1 - PROMOZIONE DELLA RICERCA E DELLO SVILUPPO  NEGLI AMBITI DELLA SPECIALIZZAZIONE INTELLIGENTE - LINEA 2 AGGREGAZIONE DI IMPRESE;"";BIOTECNOLOGIE E SALUTE IN GENERE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Attivita' di ricerca;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;20201214;741321.82;s3_2
5MA17043;MARCHE;ASCOLI PICENO;Ascoli Piceno;Via OLIMPICA 7;CODICE PROGETTO: 17043 - AZIONE 2.2.  Â¿ INTERVENTO 2.2.2. Â¿ Â¿VOUCHER PER FAVORIRE LA PARTECIPAZIONE AI PROGRAMMI COMUNITARI A GESTIONE DIRETTA DELLA COMMISSIONE EUROPEA - BANDO 2015Â¿ -;CODICE PROGETTO: 17043 - AZIONE 2.2.  Â¿ INTERVENTO 2.2.2. Â¿ Â¿VOUCHER PER FAVORIRE LA PARTECIPAZIONE AI PROGRAMMI COMUNITARI A GESTIONE DIRETTA DELLA COMMISSIONE EUROPEA - BANDO 2015Â¿ -;"";PROTEZIONE E PROMOZIONE DELLA SALUTE UMANA;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Altro;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI DIFFUSIONE E COOPERAZIONE PUBBLICO-PRIVATA;20150807;7500.0;s3_2
1MISEARS01_00914/11;MARCHE;ANCONA;Falconara Marittima;Via Marconi n. 100;DESIGN SOSTENIBILE DI SISTEMI DI ARREDO INTELLIGENTI CON FUNZIONE SALVA-VITA DURANTE EVENTI SISMICI;DESIGN SOSTENIBILE DI SISTEMI DI ARREDO INTELLIGENTI CON FUNZIONE SALVA-VITA DURANTE EVENTI SISMICI;"";ALTRE AREE TECNOLOGICHE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Attivita' di ricerca;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;20180604;300000.0;s3_1
5MA14543;MARCHE;PESARO E URBINO;Sant'Angelo in Vado;Via Circonvallazione  11-A;CODICE PROGETTO: 14543 - POR MARCHE FESR 2014/2020 Â  ASSE 1 Â  OS 1 - AZIONE 1.2 - INGEGNERIZZAZIONE, INDUSTRIALIZZAZIONE DEI RISULTATI DELLA RICERCA E VALORIZZAZIONE ECONOMICA DELL`INNOVAZIONE (BANDO DI ACCESSO 2017);CODICE PROGETTO: 14543 - POR MARCHE FESR 2014/2020 Â  ASSE 1 Â  OS 1 - AZIONE 1.2 - INGEGNERIZZAZIONE, INDUSTRIALIZZAZIONE DEI RISULTATI DELLA RICERCA E VALORIZZAZIONE ECONOMICA DELL`INNOVAZIONE (BANDO DI ACCESSO 2017);"";BIOTECNOLOGIE E SALUTE IN GENERE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Attivita' di ricerca;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;20181025;301592.5;s3_2
5MA17121;MARCHE;MACERATA;Camerino;Via madonna delle carceri 9;CODICE PROGETTO: 17121 - AZIONE 2.2.  Â¿ INTERVENTO 2.2.2. Â¿ Â¿VOUCHER PER FAVORIRE LA PARTECIPAZIONE AI PROGRAMMI COMUNITARI A GESTIONE DIRETTA DELLA COMMISSIONE EUROPEA - BANDO 2015Â¿ -;CODICE PROGETTO: 17121 - AZIONE 2.2.  Â¿ INTERVENTO 2.2.2. Â¿ Â¿VOUCHER PER FAVORIRE LA PARTECIPAZIONE AI PROGRAMMI COMUNITARI A GESTIONE DIRETTA DELLA COMMISSIONE EUROPEA - BANDO 2015Â¿ -;"";BIOTECNOLOGIE E SALUTE IN GENERE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Altro;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;20150807;5000.0;s3_2
1MISEARS01_00914/1;MARCHE;ASCOLI PICENO;Ascoli Piceno;Viale della Rimembranza snc;DESIGN SOSTENIBILE DI SISTEMI DI ARREDO INTELLIGENTI CON FUNZIONE SALVA-VITA DURANTE EVENTI SISMICI;DESIGN SOSTENIBILE DI SISTEMI DI ARREDO INTELLIGENTI CON FUNZIONE SALVA-VITA DURANTE EVENTI SISMICI;"";ALTRE RICERCHE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Attivita' di ricerca;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA PRESSO UNIVERSITA' E ISTITUTI DI RICERCA;20180604;490000.0;s3_1
1MISEARS01_01224/3;MARCHE;ANCONA;Ancona;PIAZZA ROMA 22;RESILIENZA E SOSTENIBILITA' DELLE FILIERE ORTOFRUTTICOLE E CEREALICOLE PER VALORIZZARE I TERRITORI;RESILIENZA E SOSTENIBILITA' DELLE FILIERE ORTOFRUTTICOLE E CEREALICOLE PER VALORIZZARE I TERRITORI;"";ALTRE RICERCHE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Attivita' di ricerca;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA PRESSO UNIVERSITA' E ISTITUTI DI RICERCA;20180618;430829.28;s3_1
5MA13404;MARCHE;PESARO E URBINO;Fermignano;Via Carotti SN;CODICE PROGETTO: 13404 - POR MARCHE FESR 2014-2020 - ASSE 1 Â¿ OS 1 Â¿ AZIONE 1.3 Â¿MANIFATTURA E LAVORO 4.0 Â¿ SOSTEGNO AI PROCESSI DI INNOVAZIONE AZIENDALE E ALLÂ¿ UTILIZZO DI NUOVE TECNOLOGIE DIGITALI NELLE MPMI MARCHIGIANEÂ¿;CODICE PROGETTO: 13404 - POR MARCHE FESR 2014-2020 - ASSE 1 Â¿ OS 1 Â¿ AZIONE 1.3 Â¿MANIFATTURA E LAVORO 4.0 Â¿ SOSTEGNO AI PROCESSI DI INNOVAZIONE AZIENDALE E ALLÂ¿ UTILIZZO DI NUOVE TECNOLOGIE DIGITALI NELLE MPMI MARCHIGIANEÂ¿;"";IMPIANTI, MACCHINARI ED ANNESSE OPERE MURARIE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Ammodernamento con efficientamento energetico;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' PRODUTTIVE, E LA RICERCA E L'IMPRESA SOCIALE;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;20180509;145000.0;s3_3
5MA19032;MARCHE;ASCOLI PICENO;Ascoli Piceno;Via DEL LAMPO Z I CAMPOLUNGO SNC Z I;CODICE PROGETTO: 19032 - POR MARCHE FESR 2014/2020 - ASSE 1 - OS 2 Â¿ AZIONE 2.1 Â¿ INTERVENTO 2.1.1 - SOSTEGNO ALLO SVILUPPO DI UNA PIATTAFORMA TECNOLOGICA DI RICERCA COLLABORATIVA - AMBITO: MANIFATTURA SOSTENIBILE - AREE TEMATICHE : ECOSOSTENIBILITÃ ;CODICE PROGETTO: 19032 - POR MARCHE FESR 2014/2020 - ASSE 1 - OS 2 Â¿ AZIONE 2.1 Â¿ INTERVENTO 2.1.1 - SOSTEGNO ALLO SVILUPPO DI UNA PIATTAFORMA TECNOLOGICA DI RICERCA COLLABORATIVA - AMBITO: MANIFATTURA SOSTENIBILE - AREE TEMATICHE : ECOSOSTENIBILITÃ ;"";ALTRE AREE TECNOLOGICHE;CONCESSIONE DI INCENTIVI AD UNITA' PRODUTTIVE;Altro;RICERCA SVILUPPO TECNOLOGICO ED INNOVAZIONE;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;20200618;1473205.0;s3_1
